site	year	month	day	hour	minute	second	clockm	clocks	files	MB	s	Mb/s
iar	2017	04	23	12	30	12		 1.2	54	3.5	0.5	53.6
ada	2017	04	23	13	30	31		 30	68	2.8	0.5	50.8
iar	2017	04	23	13	30	33		 2.6	54	3.5	0.7	41.1
ada	2017	04	23	14	30	11		 9.5	68	2.8	0.2	110
iar	2017	04	23	14	30	12		 1.1	54	3.5	0.5	56.7
ada	2017	04	23	15	30	22		 20	68	2.8	0.3	67.3
iar	2017	04	23	15	30	23		 1.4	54	3.5	0.8	37.1
ada	2017	04	23	16	30	27		 26	68	2.8	0.4	59.1
iar	2017	04	23	16	30	28		 1.2	54	3.5	0.6	49.9
ada	2017	04	23	17	30	20		 19	68	2.8	0.2	106
iar	2017	04	23	17	30	21		 1.3	54	3.5	0.6	45.6
ada	2017	04	23	18	30	31		 31	68	2.8	0.8	30.7
iar	2017	04	23	18	30	32		 1.2	54	3.5	0.6	52.6
ada	2017	04	23	19	30	14		 13	68	2.8	0.2	110
iar	2017	04	23	19	30	15		 1.3	54	3.5	0.6	47.4
ada	2017	04	23	20	30	14		 13	68	2.8	0.2	97.2
iar	2017	04	23	20	30	15		 1.2	54	3.5	0.6	49.9
ada	2017	04	23	21	30	36		 35	68	2.8	0.8	30.4
iar	2017	04	23	21	30	38		 1.4	54	3.5	0.7	41.9
ada	2017	04	23	22	30	13		 12	68	2.8	0.2	110
iar	2017	04	23	22	30	14		 1.3	54	3.5	0.6	47.5
ada	2017	04	23	23	30	15		 15	68	2.8	0.2	109
iar	2017	04	23	23	30	17		 1.2	54	3.5	0.5	54.9
ada	2017	04	24	00	30	24		 23	68	2.8	0.4	53.1
iar	2017	04	24	00	30	25		 1.1	54	3.5	0.5	61.5
ada	2017	04	24	01	30	10		 9.0	68	2.8	0.2	113
iar	2017	04	24	01	30	12		 1.3	54	3.5	0.7	43.5
ada	2017	04	24	02	30	28		 27	68	2.8	0.4	57.6
iar	2017	04	24	02	30	30		 1.3	54	3.5	0.6	51.1
ada	2017	04	24	03	30	09		 7.7	68	2.8	0.2	111
iar	2017	04	24	03	30	10		 1.6	54	3.5	0.9	31.7
ada	2017	04	24	04	30	11		 9.6	68	2.8	0.2	113
iar	2017	04	24	04	30	12		 1.2	54	3.5	0.6	47.9
ada	2017	04	24	05	30	22		 22	68	2.8	0.4	59.9
iar	2017	04	24	05	30	24		 1.4	54	3.5	0.6	48.3
ada	2017	04	24	06	30	16		 14	68	3.3	0.3	107
iar	2017	04	24	06	30	17		 1.6	54	3.5	0.9	31.2
ada	2017	04	24	07	30	09		 8.4	68	3.3	0.3	107
iar	2017	04	24	07	30	10		 1.3	54	3.5	0.7	44.7
ada	2017	04	24	08	30	19		 18	68	3.4	0.4	63.0
iar	2017	04	24	08	30	20		 1.3	54	3.5	0.7	40.5
ada	2017	04	24	09	30	12		 11	68	2.8	0.4	64.6
iar	2017	04	24	09	30	13		 1.6	54	3.5	0.9	30.8
ada	2017	04	24	10	30	23		 22	68	2.8	0.4	53.9
iar	2017	04	24	10	30	24		 1.7	54	3.5	1.0	28.5
ada	2017	04	24	11	30	11		 9.1	68	2.8	0.2	109
iar	2017	04	24	11	30	12		 1.5	54	3.5	0.9	32.5
ada	2017	04	24	12	30	11		 9.6	68	3.0	0.2	110
iar	2017	04	24	12	30	12		 1.4	54	3.5	0.8	36.1
ada	2017	04	24	13	30	27		 26	68	2.7	0.5	46.0
iar	2017	04	24	13	30	28		 1.3	54	3.5	0.6	48.6
ada	2017	04	24	14	30	18		 17	68	2.7	0.2	108
iar	2017	04	24	14	30	20		 1.4	54	3.5	0.7	39.4
ada	2017	04	24	15	30	13		 12	68	2.9	0.6	41.2
iar	2017	04	24	15	30	14		 1.4	54	3.5	0.8	35.7
ada	2017	04	24	16	30	31		 30	68	3.0	1.1	23.3
iar	2017	04	24	16	30	33		 1.7	54	3.5	1.1	27.6
ada	2017	04	24	17	30	17		 16	68	2.7	0.2	106
iar	2017	04	24	17	30	19		 1.3	54	3.5	0.7	44.2
ada	2017	04	24	18	30	24		 23	68	2.7	1.1	19.8
iar	2017	04	24	18	30	25		 1.2	54	3.5	0.6	50.5
ada	2017	04	24	19	30	26		 25	68	6.0	0.5	100
iar	2017	04	24	19	30	27		 1.4	54	3.5	0.7	40.8
ada	2017	04	24	20	30	16		 15	68	9.1	0.8	98.8
iar	2017	04	24	20	30	18		 1.3	54	3.5	0.7	43.1
ada	2017	04	24	21	30	33		 32	68	9.1	1.2	63.5
iar	2017	04	24	21	30	34		 1.2	54	3.5	0.6	48.4
ada	2017	04	24	22	30	12		 11	68	9.0	0.8	98.4
iar	2017	04	24	22	30	14		 1.8	54	3.5	1.2	25.3
ada	2017	04	24	23	30	12		 11	68	8.6	1.2	60.6
iar	2017	04	24	23	30	13		 1.6	54	3.5	0.9	31.0
ada	2017	04	25	00	30	20		 19	68	8.6	1.0	71.0
iar	2017	04	25	00	30	22		 1.4	54	3.5	0.8	37.5
ada	2017	04	25	01	30	09		 8.5	68	8.6	0.7	100
iar	2017	04	25	01	30	11		 1.4	54	3.5	0.8	38.1
ada	2017	04	25	02	30	25		 24	68	8.6	1.0	72.7
iar	2017	04	25	02	30	27		 1.6	54	3.5	1.0	30.2
ada	2017	04	25	03	30	19		 18	68	8.6	0.7	99.6
iar	2017	04	25	03	30	20		 1.2	54	3.5	0.6	52.5
ada	2017	04	25	04	30	10		 8.7	68	8.6	0.7	99.8
iar	2017	04	25	04	30	11		 1.4	54	3.5	0.8	37.3
ada	2017	04	25	05	30	20		 19	68	8.6	0.9	78.3
iar	2017	04	25	05	30	22		 1.6	54	3.5	0.9	30.9
ada	2017	04	25	06	30	09		 8.0	68	5.7	0.5	102
iar	2017	04	25	06	30	11		 1.5	54	3.5	0.9	31.6
ada	2017	04	25	07	30	10		 8.6	68	5.7	0.5	103
iar	2017	04	25	07	30	11		 1.2	54	3.5	0.5	56.7
ada	2017	04	25	08	30	24		 23	68	5.7	0.6	74.1
iar	2017	04	25	08	30	32		 8.4	54	3.5	0.8	38.6
ada	2017	04	25	09	30	14		 13	68	4.3	2.0	18.0
iar	2017	04	25	09	30	15		 1.2	54	3.5	0.6	50.8
ada	2017	04	25	10	30	16		 15	68	4.3	0.4	79.9
iar	2017	04	25	10	30	18		 1.3	54	3.5	0.7	42.3
ada	2017	04	25	11	30	19		 18	68	4.1	0.5	65.1
iar	2017	04	25	11	30	21		 2.0	54	3.5	1.3	22.4
ada	2017	04	25	12	30	14		 13	68	4.1	0.6	62.1
iar	2017	04	25	12	30	16		 1.5	54	3.5	0.9	33.6
ada	2017	04	25	13	30	27		 26	68	3.6	0.8	39.1
iar	2017	04	25	13	30	28		 1.4	54	3.5	0.7	39.4
ada	2017	04	25	14	30	16		 15	68	3.6	0.3	106
iar	2017	04	25	14	30	18		 1.7	54	3.5	1.1	26.3
ada	2017	04	25	15	30	33		 31	68	2.5	0.8	25.5
iar	2017	04	25	15	30	34		 1.2	54	3.5	0.6	48.9
ada	2017	04	25	16	30	20		 19	68	3.5	1.2	24.3
iar	2017	04	25	16	30	22		 1.4	54	3.5	0.8	37.0
ada	2017	04	25	17	30	15		 14	68	3.4	0.3	100
iar	2017	04	25	17	30	16		 1.1	54	3.5	0.4	65.2
ada	2017	04	25	18	30	27		 25	68	3.4	0.4	68.6
iar	2017	04	25	18	30	28		 1.4	54	3.5	0.8	38.0
ada	2017	04	25	19	30	20		 19	68	3.4	0.5	60.2
iar	2017	04	25	19	30	21		 1.2	54	3.5	0.6	50.1
ada	2017	04	25	20	30	29		 28	68	5.3	0.5	86.3
iar	2017	04	25	20	30	30		 1.1	54	3.5	0.4	65.3
ada	2017	04	25	21	30	14		 14	68	4.1	0.9	37.4
iar	2017	04	25	21	30	16		 1.7	54	3.5	1.0	28.1
ada	2017	04	25	22	30	15		 14	68	4.7	0.4	104
iar	2017	04	25	22	30	16		 1.4	54	3.5	0.7	40.9
ada	2017	04	25	23	30	21		 20	68	3.7	0.9	34.5
iar	2017	04	25	23	30	22		 1.5	54	3.5	0.9	34.2
ada	2017	04	26	00	30	09		 8.2	68	3.7	0.3	106
iar	2017	04	26	00	30	10		 1.5	54	3.5	0.8	35.6
ada	2017	04	26	01	30	24		 23	68	3.7	0.5	60.6
iar	2017	04	26	01	30	25		 1.2	54	3.5	0.6	50.6
ada	2017	04	26	02	30	10		 8.3	68	3.7	0.3	107
iar	2017	04	26	02	30	11		 1.8	54	3.5	1.1	25.5
ada	2017	04	26	03	30	09		 8.1	68	3.7	0.3	105
iar	2017	04	26	03	30	10		 1.4	54	3.5	0.7	40.6
ada	2017	04	26	04	30	34		 32	68	3.7	0.8	36.6
iar	2017	04	26	04	30	35		 1.5	54	3.5	0.7	40.4
ada	2017	04	26	05	30	09		 8.1	68	3.7	0.3	106
iar	2017	04	26	05	30	10		 1.3	54	3.5	0.7	39.8
ada	2017	04	26	06	30	09		 8.0	68	4.2	0.3	105
iar	2017	04	26	06	30	11		 1.2	54	3.5	0.6	52.8
ada	2017	04	26	07	30	24		 23	68	4.0	0.6	53.0
iar	2017	04	26	07	30	25		 1.4	54	3.5	0.8	34.9
ada	2017	04	26	08	30	11		 10	68	3.3	0.3	108
iar	2017	04	26	08	30	13		 1.5	54	3.5	0.9	32.7
ada	2017	04	26	09	31	01	 1	 0	68	3.3	0.5	61.2
iar	2017	04	26	09	31	03		 1.5	54	3.5	0.9	32.9
ada	2017	04	26	10	30	14		 14	68	3.4	1.3	21.8
iar	2017	04	26	10	30	16		 1.6	54	3.5	1.0	28.7
ada	2017	04	26	11	30	14		 13	68	4.5	0.4	104
iar	2017	04	26	11	30	16		 1.3	54	3.5	0.7	43.9
ada	2017	04	26	12	30	25		 24	68	4.4	0.8	44.5
iar	2017	04	26	12	30	26		 1.5	54	3.5	0.9	33.1
ada	2017	04	26	13	30	17		 16	68	4.4	0.8	47.9
iar	2017	04	26	13	30	19		 1.6	54	3.5	1.0	30.4
ada	2017	04	26	14	30	12		 11	68	4.7	0.4	102
iar	2017	04	26	14	30	14		 1.2	54	3.5	0.6	47.3
ada	2017	04	26	15	30	28		 27	68	4.4	1.0	35.6
iar	2017	04	26	15	30	29		 1.4	54	3.5	0.8	36.1
ada	2017	04	26	16	30	14		 13	68	4.5	0.4	103
iar	2017	04	26	16	30	16		 1.1	54	3.5	0.5	57.1
ada	2017	04	26	17	30	30		 29	68	11	2.0	43.7
iar	2017	04	26	17	30	31		 1.2	54	3.5	0.5	56.0
ada	2017	04	26	18	30	22		 20	68	11	1.1	79.8
iar	2017	04	26	18	30	23		 1.3	54	3.5	0.7	41.3
ada	2017	04	26	19	30	38		 36	68	11	1.5	59.6
iar	2017	04	26	19	30	39		 1.1	54	3.5	0.5	60.0
ada	2017	04	26	20	30	18		 17	68	10	1.2	75.0
iar	2017	04	26	20	30	20		 1.3	54	3.5	0.6	46.2
ada	2017	04	26	21	30	18		 17	68	10	0.9	97.9
iar	2017	04	26	21	30	19		 1.2	54	3.5	0.5	56.5
ada	2017	04	26	22	30	25		 24	68	10	1.1	82.2
iar	2017	04	26	22	30	26		 1.3	54	3.5	0.6	45.6
ada	2017	04	26	23	30	14		 13	68	2.6	0.4	54.5
iar	2017	04	26	23	30	15		 1.2	54	3.5	0.6	48.7
ada	2017	04	27	00	30	12		 10	68	2.5	0.2	112
iar	2017	04	27	00	30	13		 1.4	54	3.5	0.8	37.4
ada	2017	04	27	01	30	21		 19	68	2.5	0.4	56.4
iar	2017	04	27	01	30	22		 1.4	54	3.5	0.8	38.3
ada	2017	04	27	02	30	18		 17	68	2.8	0.8	29.5
iar	2017	04	27	02	30	20		 1.5	54	3.5	0.8	36.1
ada	2017	04	27	03	30	08		 6.8	68	2.6	0.2	103
iar	2017	04	27	03	30	09		 1.3	54	3.5	0.6	50.3
ada	2017	04	27	04	30	17		 15	68	2.6	0.4	58.8
iar	2017	04	27	04	30	19		 2.0	54	3.5	1.3	21.7
ada	2017	04	27	05	30	17		 16	68	2.6	0.2	114
iar	2017	04	27	05	30	18		 1.4	54	3.5	0.8	35.9
ada	2017	04	27	06	30	25		 24	68	2.6	0.4	59.1
iar	2017	04	27	06	30	26		 1.4	54	3.5	0.8	35.8
ada	2017	04	27	07	30	11		 9.8	68	3.0	0.9	27.1
iar	2017	04	27	07	30	12		 1.5	54	3.5	0.8	34.7
ada	2017	04	27	08	30	12		 11	68	2.6	0.2	112
iar	2017	04	27	08	30	14		 1.7	54	3.5	1.1	26.1
ada	2017	04	27	09	30	24		 22	68	2.6	0.4	49.6
iar	2017	04	27	09	30	25		 1.3	54	3.5	0.7	42.2
ada	2017	04	27	10	30	15		 14	68	2.7	0.4	56.3
iar	2017	04	27	10	30	17		 1.1	54	3.5	0.5	63.7
ada	2017	04	27	11	30	13		 12	68	2.6	0.2	109
iar	2017	04	27	11	30	14		 1.1	54	3.5	0.5	60.0
ada	2017	04	27	12	30	23		 23	68	2.6	0.4	53.2
iar	2017	04	27	12	30	25		 1.5	54	3.5	0.9	32.5
ada	2017	04	27	13	30	14		 14	68	2.3	0.2	113
iar	2017	04	27	13	30	16		 1.7	54	3.5	1.0	29.7
ada	2017	04	27	14	30	29		 28	68	2.3	0.6	32.5
iar	2017	04	27	14	30	30		 1.5	54	3.5	0.9	32.3
ada	2017	04	27	15	30	19		 19	68	2.6	0.4	57.0
iar	2017	04	27	15	30	21		 1.3	54	3.5	0.7	44.1
ada	2017	04	27	16	30	14		 13	68	7.7	0.7	99.3
iar	2017	04	27	16	30	15		 1.3	54	3.5	0.7	44.8
ada	2017	04	27	17	30	33		 32	68	23	2.5	76.9
iar	2017	04	27	17	30	35		 1.5	54	3.5	0.9	34.1
ada	2017	04	27	18	30	14		 13	68	25	3.1	66.7
iar	2017	04	27	18	30	15		 1.3	54	3.5	0.7	43.7
ada	2017	04	27	19	30	17		 16	68	28	2.4	95.6
iar	2017	04	27	19	30	18		 1.3	54	3.5	0.7	42.7
ada	2017	04	27	20	30	25		 24	68	22	2.5	72.8
iar	2017	04	27	20	30	26		 1.4	54	3.5	0.8	36.8
ada	2017	04	27	21	30	18		 17	68	7.5	0.6	99.0
iar	2017	04	27	21	30	19		 1.2	54	3.5	0.6	46.6
ada	2017	04	27	22	30	15		 14	68	5.8	0.5	101
iar	2017	04	27	22	30	17		 1.8	54	3.5	1.1	25.5
ada	2017	04	27	23	30	30		 29	68	2.9	0.7	33.4
iar	2017	04	27	23	30	32		 1.8	54	3.5	1.0	27.9
ada	2017	04	28	00	30	14		 13	68	2.6	0.4	56.7
iar	2017	04	28	00	30	16		 1.4	54	3.5	0.8	37.0
ada	2017	04	28	01	30	09		 8.4	68	2.6	0.2	111
iar	2017	04	28	01	30	11		 1.2	54	3.5	0.6	52.3
ada	2017	04	28	02	30	33		 32	68	2.6	0.5	46.6
iar	2017	04	28	02	30	34		 1.2	54	3.5	0.6	52.3
ada	2017	04	28	03	30	10		 8.6	68	2.6	0.2	114
iar	2017	04	28	03	30	11		 1.5	54	3.5	0.9	33.6
ada	2017	04	28	04	30	10		 8.1	68	2.6	0.2	111
iar	2017	04	28	04	30	11		 1.4	54	3.5	0.8	36.6
ada	2017	04	28	05	30	35		 33	68	2.6	0.4	58.0
iar	2017	04	28	05	30	36		 1.4	54	3.5	0.7	39.2
ada	2017	04	28	06	30	09		 7.7	68	3.1	0.2	108
iar	2017	04	28	06	30	10		 1.2	54	3.5	0.6	52.6
ada	2017	04	28	07	30	09		 7.7	68	3.1	0.2	110
iar	2017	04	28	07	30	10		 1.0	54	3.5	0.4	72.0
ada	2017	04	28	08	30	18		 17	68	3.1	0.3	97.1
iar	2017	04	28	08	30	20		 1.5	54	3.5	0.9	30.7
ada	2017	04	28	09	30	08		 7.3	68	3.1	0.2	108
iar	2017	04	28	09	30	10		 1.3	54	3.5	0.7	40.8
ada	2017	04	28	10	30	26		 25	68	3.3	0.9	30.3
iar	2017	04	28	10	30	28		 1.5	54	3.5	0.9	32.0
ada	2017	04	28	11	30	13		 12	68	3.7	0.4	82.3
iar	2017	04	28	11	30	14		 1.2	54	3.5	0.6	45.3
ada	2017	04	28	12	30	11		 9.8	68	3.6	0.3	107
iar	2017	04	28	12	30	12		 1.2	54	3.5	0.6	46.9
ada	2017	04	28	13	30	24		 24	68	3.2	0.6	41.9
iar	2017	04	28	13	30	25		 1.3	54	3.5	0.6	50.7
ada	2017	04	28	14	30	17		 17	68	3.2	0.5	58.3
iar	2017	04	28	14	30	19		 1.7	54	3.5	1.1	27.5
ada	2017	04	28	15	30	10		 8.9	68	3.2	0.6	47.7
iar	2017	04	28	15	30	11		 1.1	54	3.5	0.5	55.5
ada	2017	04	28	16	30	21		 20	68	2.5	0.4	56.2
iar	2017	04	28	16	30	23		 1.6	54	3.5	0.9	31.4
ada	2017	04	28	17	30	12		 11	68	2.5	0.2	112
iar	2017	04	28	17	30	15		 2.5	54	3.5	1.9	15.5
ada	2017	04	28	18	30	25		 24	68	2.2	0.5	40.7
iar	2017	04	28	18	30	27		 1.6	54	3.5	0.9	30.9
ada	2017	04	28	19	30	18		 17	68	2.3	0.2	112
iar	2017	04	28	19	30	19		 1.4	54	3.5	0.8	37.1
ada	2017	04	28	20	30	12		 11	68	2.4	0.2	113
iar	2017	04	28	20	30	14		 1.4	54	3.5	0.8	36.1
ada	2017	04	28	21	30	22		 21	68	2.6	0.4	57.0
iar	2017	04	28	21	30	24		 1.6	54	3.5	0.9	33.2
ada	2017	04	28	22	30	17		 16	68	6.5	1.6	33.2
iar	2017	04	28	22	30	18		 1.2	54	3.5	0.6	46.9
ada	2017	04	28	23	30	13		 11	68	6.5	0.9	58.5
iar	2017	04	28	23	30	14		 1.3	54	3.5	0.6	45.4
ada	2017	04	29	00	30	19		 17	68	6.5	0.7	74.7
iar	2017	04	29	00	30	21		 1.9	54	3.5	1.3	22.9
ada	2017	04	29	01	30	13		 12	68	6.5	0.5	101
iar	2017	04	29	01	30	15		 1.6	54	3.5	1.0	29.5
ada	2017	04	29	02	30	32		 31	68	6.5	0.7	75.1
iar	2017	04	29	02	30	33		 1.6	54	3.5	1.0	29.2
ada	2017	04	29	03	30	09		 8.0	68	6.5	0.5	101
iar	2017	04	29	03	30	10		 1.2	54	3.5	0.6	47.7
ada	2017	04	29	04	30	10		 8.8	68	6.5	0.5	101
iar	2017	04	29	04	30	11		 1.4	54	3.5	0.7	39.0
ada	2017	04	29	05	30	32		 32	68	6.5	0.8	72.2
iar	2017	04	29	05	30	34		 1.6	54	3.5	0.9	31.5
ada	2017	04	29	06	30	11		 9.9	68	6.5	0.5	102
iar	2017	04	29	06	30	12		 1.2	54	3.5	0.6	45.5
ada	2017	04	29	07	30	11		 10	68	6.5	0.7	82.9
iar	2017	04	29	07	30	12		 1.5	54	3.5	0.9	31.2
ada	2017	04	29	08	30	18		 17	68	6.5	0.7	75.8
iar	2017	04	29	08	30	20		 1.5	54	3.5	0.9	33.2
ada	2017	04	29	09	30	11		 10	68	7.2	0.6	101
iar	2017	04	29	09	30	12		 1.1	54	3.5	0.4	66.1
ada	2017	04	29	10	30	29		 28	68	3.9	0.6	52.9
iar	2017	04	29	10	30	30		 1.1	54	3.5	0.5	56.2
ada	2017	04	29	11	30	10		 8.7	68	3.4	0.3	102
iar	2017	04	29	11	30	12		 2.3	54	3.5	1.7	17.3
ada	2017	04	29	12	30	11		 10	68	3.4	0.3	108
iar	2017	04	29	12	30	12		 1.2	54	3.5	0.5	54.4
ada	2017	04	29	13	30	22		 21	68	3.4	0.5	62.4
iar	2017	04	29	13	30	23		 1.1	54	3.5	0.5	57.6
ada	2017	04	29	14	30	09		 8.1	68	3.4	0.3	106
iar	2017	04	29	14	30	10		 1.4	54	3.5	0.8	38.4
ada	2017	04	29	15	30	12		 10	68	3.4	0.3	106
iar	2017	04	29	15	30	13		 1.2	54	3.5	0.6	49.7
ada	2017	04	29	16	30	22		 21	68	3.4	0.5	61.7
iar	2017	04	29	16	30	23		 1.4	54	3.5	0.8	36.0
ada	2017	04	29	17	30	13		 13	68	3.4	0.3	87.7
iar	2017	04	29	17	30	15		 1.4	54	3.5	0.7	42.0
ada	2017	04	29	18	30	38		 37	68	3.4	0.6	47.8
iar	2017	04	29	18	30	39		 1.1	54	3.5	0.5	55.9
ada	2017	04	29	19	30	21		 19	68	3.4	0.4	76.9
iar	2017	04	29	19	30	22		 1.7	54	3.5	1.1	27.3
ada	2017	04	29	20	30	27		 26	68	3.4	0.7	41.4
iar	2017	04	29	20	30	28		 1.1	54	3.5	0.5	56.7
ada	2017	04	29	21	30	19		 19	68	3.4	1.0	27.4
iar	2017	04	29	21	30	21		 1.3	54	3.5	0.7	43.7
ada	2017	04	29	22	30	09		 8.1	68	3.4	0.3	107
iar	2017	04	29	22	30	11		 1.4	54	3.5	0.7	39.3
ada	2017	04	29	23	30	22		 21	68	3.4	0.5	62.0
iar	2017	04	29	23	30	23		 1.2	54	3.5	0.6	50.5
ada	2017	04	30	00	30	10		 9.3	68	3.4	0.3	107
iar	2017	04	30	00	30	11		 1.2	54	3.5	0.6	49.3
ada	2017	04	30	01	30	12		 10	68	3.4	0.3	99.0
iar	2017	04	30	01	30	13		 1.3	54	3.5	0.7	44.3
ada	2017	04	30	02	30	23		 22	68	3.4	0.5	58.1
iar	2017	04	30	02	30	24		 1.5	54	3.5	0.8	35.7
ada	2017	04	30	03	30	08		 7.0	68	3.4	0.3	107
iar	2017	04	30	03	30	09		 1.1	54	3.5	0.5	59.0
ada	2017	04	30	04	30	27		 26	68	3.4	0.5	62.5
iar	2017	04	30	04	30	28		 1.1	54	3.5	0.5	56.4
ada	2017	04	30	05	30	09		 8.6	68	3.4	0.3	109
iar	2017	04	30	05	30	10		 1.1	54	3.5	0.4	65.6
ada	2017	04	30	06	30	08		 7.2	68	3.4	0.3	106
iar	2017	04	30	06	30	09		 1.6	54	3.5	1.0	29.7
ada	2017	04	30	07	30	36		 36	68	3.2	0.4	62.1
iar	2017	04	30	07	30	38		 1.7	54	3.5	1.0	28.4
ada	2017	04	30	08	30	08		 7.0	68	3.2	0.3	107
iar	2017	04	30	08	30	09		 1.1	54	3.5	0.5	55.5
ada	2017	04	30	09	30	11		 11	68	3.2	0.6	45.0
iar	2017	04	30	09	30	13		 1.3	54	3.5	0.7	43.0
ada	2017	04	30	10	30	21		 20	68	2.6	0.4	49.0
iar	2017	04	30	10	30	22		 1.4	54	3.5	0.7	39.3
ada	2017	04	30	11	30	13		 11	68	2.6	0.2	112
iar	2017	04	30	11	30	14		 1.2	54	3.5	0.5	61.8
ada	2017	04	30	12	30	26		 25	68	2.7	0.4	52.8
iar	2017	04	30	12	30	27		 1.2	54	3.5	0.6	49.6
ada	2017	04	30	13	30	10		 8.5	68	2.7	0.2	110
iar	2017	04	30	13	30	11		 1.1	54	3.5	0.5	57.5
ada	2017	04	30	14	30	11		 9.8	68	2.7	0.2	110
iar	2017	04	30	14	30	13		 1.5	54	3.5	0.9	31.0
ada	2017	04	30	15	30	22		 21	68	2.7	0.4	57.1
iar	2017	04	30	15	30	23		 1.5	54	3.5	0.9	32.3
ada	2017	04	30	16	30	09		 8.6	68	2.7	0.2	96.4
iar	2017	04	30	16	30	11		 1.4	54	3.5	0.8	36.5
ada	2017	04	30	17	30	31		 30	68	2.7	0.5	42.4
iar	2017	04	30	17	30	32		 1.3	54	3.5	0.7	44.6
ada	2017	04	30	18	30	11		 9.4	68	2.7	0.2	110
iar	2017	04	30	18	30	12		 1.3	54	3.5	0.6	45.7
ada	2017	04	30	19	30	15		 14	68	2.7	0.2	99.3
iar	2017	04	30	19	30	17		 1.5	54	3.5	0.8	37.4
ada	2017	04	30	20	30	29		 28	68	2.7	0.4	54.3
iar	2017	04	30	20	30	30		 1.4	54	3.5	0.7	41.9
ada	2017	04	30	21	30	10		 8.6	68	2.7	0.2	92.4
iar	2017	04	30	21	30	11		 1.2	54	3.5	0.5	55.1
ada	2017	04	30	22	30	12		 11	68	2.7	0.3	73.9
iar	2017	04	30	22	30	13		 1.3	54	3.5	0.6	45.8
ada	2017	04	30	23	30	19		 18	68	2.7	0.4	54.8
iar	2017	04	30	23	30	20		 1.3	54	3.5	0.7	42.1
ada	2017	05	01	00	30	10		 9.0	68	2.7	0.2	109
iar	2017	05	01	00	30	12		 1.4	54	3.5	0.8	34.8
ada	2017	05	01	01	30	29		 28	68	2.7	0.4	50.6
iar	2017	05	01	01	30	31		 1.3	54	3.5	0.7	40.0
ada	2017	05	01	02	30	16		 16	68	2.7	0.2	105
iar	2017	05	01	02	30	18		 1.6	54	3.5	0.8	37.8
ada	2017	05	01	03	30	09		 7.2	68	2.7	0.2	113
iar	2017	05	01	03	30	10		 1.6	54	3.5	0.9	30.8
ada	2017	05	01	04	30	38		 36	68	2.7	0.7	31.3
iar	2017	05	01	04	30	39		 1.6	54	3.5	0.8	35.5
ada	2017	05	01	05	30	08		 6.7	68	2.7	0.2	111
iar	2017	05	01	05	30	09		 1.2	54	3.5	0.6	49.4
ada	2017	05	01	06	30	09		 8.4	68	3.1	0.2	109
iar	2017	05	01	06	30	10		 1.3	54	3.5	0.7	41.8
ada	2017	05	01	07	30	26		 25	68	3.1	0.8	30.8
iar	2017	05	01	07	30	27		 1.5	54	3.5	0.8	35.7
ada	2017	05	01	08	30	11		 9.1	68	3.0	0.2	109
iar	2017	05	01	08	30	12		 1.4	54	3.5	0.8	36.5
ada	2017	05	01	09	30	10		 8.6	67	3.4	0.3	107
iar	2017	05	01	09	30	11		 1.4	54	3.5	0.8	34.9
ada	2017	05	01	10	30	21		 20	67	3.4	0.5	62.4
iar	2017	05	01	10	30	23		 1.9	54	3.5	1.2	23.5
ada	2017	05	01	11	30	13		 12	67	3.4	0.3	98.6
iar	2017	05	01	11	30	14		 1.3	54	3.5	0.6	46.0
ada	2017	05	01	12	30	23		 23	67	3.2	0.5	57.8
iar	2017	05	01	12	30	24		 1.2	54	3.5	0.6	52.0
ada	2017	05	01	13	30	22		 21	67	3.4	0.8	36.0
iar	2017	05	01	13	30	23		 1.2	54	3.5	0.6	49.6
ada	2017	05	01	14	30	14		 14	67	3.3	0.5	57.9
iar	2017	05	01	14	30	16		 1.3	54	3.5	0.7	44.6
ada	2017	05	01	15	30	21		 20	68	2.7	0.6	36.2
iar	2017	05	01	15	30	23		 1.5	54	3.5	0.9	34.0
ada	2017	05	01	16	30	18		 17	68	3.0	0.6	40.1
iar	2017	05	01	16	30	19		 1.1	54	3.5	0.5	57.2
ada	2017	05	01	17	30	25		 24	68	4.4	1.3	29.4
iar	2017	05	01	17	30	26		 1.5	54	3.5	0.9	31.2
ada	2017	05	01	18	30	14		 13	68	4.4	0.4	105
iar	2017	05	01	18	30	16		 1.2	54	3.5	0.6	48.9
ada	2017	05	01	19	30	28		 27	68	4.8	1.3	31.7
iar	2017	05	01	19	30	29		 1.0	54	3.5	0.4	67.1
ada	2017	05	01	20	30	18		 17	68	2.7	0.6	35.6
iar	2017	05	01	20	30	19		 1.2	54	3.5	0.6	51.4
ada	2017	05	01	21	30	15		 14	67	2.5	0.2	107
iar	2017	05	01	21	30	16		 1.5	54	3.5	0.9	34.3
ada	2017	05	01	22	30	22		 21	67	2.3	0.5	36.9
iar	2017	05	01	22	30	23		 1.4	54	3.5	0.8	35.5
ada	2017	05	01	23	30	13		 12	67	4.0	1.1	29.6
iar	2017	05	01	23	30	14		 1.2	54	3.5	0.6	48.9
ada	2017	05	02	00	30	11		 10	68	4.1	0.3	104
iar	2017	05	02	00	30	12		 1.5	54	3.5	0.9	32.5
ada	2017	05	02	01	30	20		 20	68	4.1	0.5	65.3
iar	2017	05	02	01	30	22		 1.1	54	3.5	0.5	57.0
ada	2017	05	02	02	30	14		 13	68	4.1	0.3	105
